Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Sales Rep,Location ID,Product ID,Quantity,Discount,Sales,Profit
CA-2015-106320,25-Sep-15,30-Sep-15,Standard Class,EB-13870,Organic,"84057,Orem","FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table",3,0,"1,044.63",240.26
CA-2016-169194,20-Jun-16,25-Jun-16,Standard Class,LH-16900,Organic,"19901,Dover","TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive",3,0,45,4.95
CA-2015-135545,24-Nov-15,30-Nov-15,Standard Class,KM-16720,Organic,"90004,Los Angeles","OFF-PA-10003892,Xerox 1943",3,0,146.73,68.96
CA-2015-110457,02-Mar-15,06-Mar-15,Standard Class,DK-13090,Organic,"98103,Seattle","FUR-TA-10001768,Hon Racetrack Conference Tables",3,0,787.53,165.38
CA-2016-145583,13-Oct-16,19-Oct-16,Standard Class,LC-16885,Organic,"95661,Roseville","OFF-PA-10001804,Xerox 195",3,0,20.04,9.62
CA-2017-155376,22-Dec-17,27-Dec-17,Standard Class,SG-20080,Organic,"64055,Independence","OFF-AP-10001058,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators",3,0,839.43,218.25
CA-2015-118948,28-May-15,03-Jun-15,Standard Class,NK-18490,Organic,"98105,Seattle","OFF-AR-10001547,Newell 311",3,0,6.63,1.79
CA-2014-118962,05-Aug-14,09-Aug-14,Standard Class,CS-12130,Organic,"90004,Los Angeles","OFF-PA-10000659,Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",3,0,20.94,9.84
CA-2014-111003,01-Jun-14,06-Jun-14,Standard Class,CR-12625,Organic,"8701,Lakewood","OFF-BI-10001072,GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",3,0,45.48,20.92
CA-2017-134306,08-Jul-17,12-Jul-17,Standard Class,TD-20995,Organic,"1852,Lowell","OFF-AR-10004027,Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",3,0,7.56,3.1
CA-2017-117933,24-Dec-17,29-Dec-17,Standard Class,RF-19840,Organic,"10024,New York City","OFF-AP-10004249,Staple holder",3,0,35.91,9.7
CA-2016-152632,27-Oct-16,02-Nov-16,Standard Class,JE-15475,Organic,"12180,Troy","FUR-FU-10002671,Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp",3,0,40.2,19.3
CA-2014-134677,06-Oct-14,10-Oct-14,Standard Class,XP-21865,Organic,"92024,San Diego","TEC-AC-10001445,Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink",3,0,9.09,1.91
CA-2014-113362,14-Sep-14,19-Sep-14,Standard Class,AJ-10960,Organic,"14609,Rochester","OFF-EN-10003845,Colored Envelopes",3,0,11.07,5.09
CA-2015-145352,16-Mar-15,22-Mar-15,Standard Class,CM-12385,Organic,"30318,Atlanta","OFF-AR-10003856,Newell 344",3,0,8.34,2.17
CA-2015-145352,16-Mar-15,22-Mar-15,Standard Class,CM-12385,Organic,"30318,Atlanta","OFF-ST-10001228,Personal File Boxes with Fold-Down Carry Handle",3,0,46.74,11.69
CA-2017-163405,21-Dec-17,25-Dec-17,Standard Class,BN-11515,Organic,"90049,Los Angeles","OFF-AR-10003811,Newell 327",3,0,6.63,1.79
US-2017-129441,07-Sep-17,11-Sep-17,Standard Class,JC-15340,Organic,"90032,Los Angeles","FUR-FU-10000448,Tenex Chairmats For Use With Carpeted Floors",3,0,47.94,2.4
CA-2015-134894,07-Dec-15,11-Dec-15,Standard Class,DK-12985,Organic,"42420,Henderson","OFF-AP-10001271,Eureka The Boss Cordless Rechargeable Stick Vac",3,0,152.94,41.29
CA-2017-164826,28-Dec-17,04-Jan-18,Standard Class,JF-15415,Organic,"10024,New York City","TEC-PH-10000347,Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple",3,0,14.85,4.01
CA-2016-127250,03-Nov-16,07-Nov-16,Standard Class,SF-20200,Organic,"98270,Marysville","OFF-AR-10003394,Newell 332",3,0,8.82,2.38
CA-2015-128139,03-Jul-15,09-Jul-15,Standard Class,BD-11725,Organic,"40475,Richmond","OFF-LA-10003930,Dot Matrix Printer Tape Reel Labels, White, 5000/Box",3,0,294.93,144.52
CA-2017-133431,17-Dec-17,21-Dec-17,Standard Class,LC-17140,Organic,"94122,San Francisco","OFF-PA-10002615,Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",3,0,13.23,6.09
CA-2017-126074,02-Oct-17,06-Oct-17,Standard Class,RF-19735,Organic,"48183,Trenton","OFF-BI-10003638,GBC Durable Plastic Covers",3,0,58.05,26.7
CA-2015-115938,26-Jun-15,30-Jun-15,Standard Class,SA-20830,Organic,"23223,Richmond","FUR-CH-10003199,Office Star - Contemporary Task Swivel Chair",3,0,332.94,79.91
CA-2017-101434,20-Jun-17,27-Jun-17,Standard Class,TR-21325,Organic,"7109,Belleville","TEC-AC-10002402,Razer Kraken PRO Over Ear PC and Music Headset",3,0,239.97,71.99
US-2014-102071,09-May-14,15-May-14,Standard Class,PG-18820,Organic,"94110,San Francisco","TEC-AC-10000109,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive",3,0,167.97,40.31
CA-2015-114300,13-Oct-15,17-Oct-15,Standard Class,AF-10885,Organic,"40214,Louisville","FUR-CH-10001891,Global Deluxe Office Fabric Chairs",3,0,287.94,77.74
CA-2016-123274,19-Feb-16,24-Feb-16,Standard Class,GT-14710,Organic,"10035,New York City","OFF-ST-10000736,Carina Double Wide Media Storage Towers in Natural & Black",3,0,242.94,9.72
CA-2016-130477,08-Apr-16,12-Apr-16,Standard Class,LC-17140,Organic,"90032,Los Angeles","OFF-PA-10002947,Xerox 1923",3,0,20.04,9.62
CA-2015-111164,11-Apr-15,15-Apr-15,Standard Class,SE-20110,Organic,"10009,New York City","TEC-AC-10002473,Maxell 4.7GB DVD-R",3,0,85.14,34.91
CA-2015-120880,29-May-15,03-Jun-15,Standard Class,JL-15850,Organic,"98105,Seattle","OFF-ST-10001496,Standard Rollaway File with Lock",3,0,540.57,140.55
CA-2015-162537,28-Oct-15,03-Nov-15,Standard Class,RD-19585,Organic,"42420,Henderson","OFF-ST-10004258,Portable Personal File Box",3,0,36.63,9.89
CA-2015-126445,27-Aug-15,31-Aug-15,Standard Class,RA-19945,Organic,"92563,Murrieta","OFF-ST-10000046,Fellowes Super Stor/Drawer Files",3,0,484.65,92.08
CA-2015-124450,27-Apr-15,03-May-15,Standard Class,GT-14710,Organic,"20016,Washington","OFF-AR-10001166,Staples in misc. colors",3,0,22.74,8.87
CA-2015-124450,27-Apr-15,03-May-15,Standard Class,GT-14710,Organic,"20016,Washington","FUR-CH-10000309,Global Comet Stacking Arm Chair",3,0,"1,267.53",316.88
CA-2016-112340,21-Oct-16,27-Oct-16,Standard Class,NM-18520,Organic,"92503,Riverside","OFF-PA-10001892,Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",3,0,22.92,11.23
US-2014-147627,20-Jan-14,26-Jan-14,Standard Class,HL-15040,Organic,"72401,Jonesboro","OFF-AR-10003811,Newell 327",3,0,6.63,1.79
US-2014-147627,20-Jan-14,26-Jan-14,Standard Class,HL-15040,Organic,"72401,Jonesboro","OFF-EN-10001539,Staple envelope",3,0,23.34,10.97
US-2014-147627,20-Jan-14,26-Jan-14,Standard Class,HL-15040,Organic,"72401,Jonesboro","FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms",3,0,"1,067.94",224.27
CA-2017-147039,29-Jun-17,04-Jul-17,Standard Class,AA-10315,Organic,"55407,Minneapolis","OFF-AP-10000576,Belkin 325VA UPS Surge Protector, 6'",3,0,362.94,90.74
