Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Sales Rep,Location ID,Product ID,Quantity,Discount,Sales,Profit
US-2021-000000,2023-10-11,2023-10-13,Standard Class,CU-49431,Organic,"47810,Los Angeles",OFF-ST-1665336,7,0.35,197.48,90.15
US-2021-000001,2022-08-04,2022-08-10,Standard Class,CU-17005,Organic,"67439,Phoenix",FUR-BO-9258667,10,0.35,1643.97,311.0
US-2021-000002,2021-10-10,2021-10-14,Same Day,CU-50200,Organic,"31204,Los Angeles",FUR-FU-7855203,1,0.23,1364.43,-98.09
US-2021-000003,2021-08-27,2021-08-31,Standard Class,CU-87877,Organic,"41822,Philadelphia",TEC-CO-5500878,1,0.22,862.95,426.98
US-2021-000004,2023-08-21,2023-08-24,First Class,CU-97221,Organic,"32276,Dallas",FUR-BO-3614337,10,0.32,1326.18,-46.4
US-2021-000005,2022-07-23,2022-07-29,Standard Class,CU-58277,Organic,"59408,San Antonio",FUR-TA-8268707,5,0.39,965.87,300.56
US-2021-000006,2022-09-03,2022-09-04,Second Class,CU-60332,Organic,"67929,Houston",FUR-BO-6835960,7,0.29,1337.63,408.92
US-2021-000007,2023-04-21,2023-04-27,Standard Class,CU-65233,Organic,"23047,Houston",TEC-AC-1514994,1,0.27,86.98,-3.24
US-2021-000008,2023-09-08,2023-09-10,Second Class,CU-41396,Organic,"10882,Houston",FUR-CH-2215790,9,0.18,1735.54,437.03
US-2021-000009,2023-01-18,2023-01-23,Same Day,CU-11393,Organic,"74520,San Diego",OFF-AR-8449159,5,0.23,1173.65,-4.1
US-2021-000010,2022-11-29,2022-12-04,Standard Class,CU-50507,Organic,"76081,San Antonio",OFF-AR-5587332,5,0.4,228.67,250.74
US-2021-000011,2021-09-27,2021-10-03,Same Day,CU-42708,Organic,"97000,New York",OFF-ST-1886447,6,0.13,585.66,75.53
US-2021-000012,2021-04-05,2021-04-11,First Class,CU-25100,Organic,"11162,Houston",FUR-FU-2600117,9,0.04,262.97,-39.3
US-2021-000013,2022-03-26,2022-03-30,Same Day,CU-69679,Organic,"96033,Phoenix",FUR-CH-6119142,6,0.19,620.62,230.58
US-2021-000014,2022-12-08,2022-12-10,First Class,CU-79824,Organic,"55235,Los Angeles",OFF-FA-8044807,6,0.46,1261.34,427.48
US-2021-000015,2023-12-28,2023-12-31,Same Day,CU-58551,Organic,"46039,San Antonio",OFF-FA-2382603,8,0.05,799.07,213.36
US-2021-000016,2021-09-18,2021-09-19,Second Class,CU-96900,Organic,"70631,New York",FUR-BO-1308233,10,0.03,1525.57,-89.04
US-2021-000017,2023-07-30,2023-08-01,First Class,CU-25912,Organic,"42495,Chicago",FUR-FU-5093962,1,0.35,1741.12,108.67
